Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, X, Y 
12/12/2014, 47, CONDUCTOR , ANDRESITO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, JUEVES, FEMENINO, 23, PAYSANDU, PAYSANDU, AUTO, 398280, 6425595 
8/5/2014, 52, CONDUCTOR , WILSON FERREIRA ALDUNATE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 17, RIVERA, SIN DATOS, AUTO, 638820, 6581915 
17/4/2014, 26, PASAJERO  , NO SE INGRESO, RURAL     , HERIDO GRAVE, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 15, RIVERA, SIN DATOS, AUTO, 677430, 6515640 
9/1/2014, 23, CONDUCTOR , NO SE INGRESO, SUBURBANA , ILESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 19, TACUAREMBO, SIN DATOS, AUTO, 644645, 6472315 
27/2/2014, 29, PASAJERO  , , RURAL     , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 12, TACUAREMBO, SIN DATOS, AUTO, 660985, 6440315 
30/1/2014, 19, PEATÓN    , NO SE INGRESO, SUBURBANA , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 12, TACUAREMBO, TACUAREMBO, SIN DATOS, 596945, 6488640 
17/7/2014, 44, CONDUCTOR , DIEGO LAMAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 12, ARTIGAS, ARTIGAS, AUTO, 550530, 6636115 
6/11/2014, 17, PASAJERO  , COLON, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 19, SALTO, SALTO, MOTO, 407520, 6526860 
24/7/2014, 47, PASAJERO  , NO SE INGRESO, RURAL     , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 15, TACUAREMBO, SIN DATOS, CAMION, 605040, 6499500 
4/12/2014, 48, CONDUCTOR , DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 17, PAYSANDU, PAYSANDU, AUTO, 398030, 6423665 
24/7/2014, 40, CONDUCTOR , FRANCISCO ROMERO ESQ. HIDELBRANDO DE BARROS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, JUEVES, MASCULINO, 19, RIVERA, RIVERA, AUTO, 636380, 6581310 
2/10/2014, 48, CONDUCTOR , AVENIDA CARLOS REYLES, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, JUEVES, MASCULINO, 16, SALTO, SALTO, AUTO, 410820, 6527135 
25/9/2014, SIN DATOS, PASAJERO  , , SUBURBANA , ILESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, SALTO, SIN DATOS, AUTO, 412765, 6538585 
24/4/2014, 34, CONDUCTOR , VEINTICINCO DE MAYO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 9, TACUAREMBO, TACUAREMBO, AUTO, 595740, 6490135 
2/1/2014, 37, CONDUCTOR , GENERAL JOSE G. ARTIGAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 10, PAYSANDU, PAYSANDU, MOTO, 397840, 6423270 
3/4/2014, 46, CONDUCTOR , CHARRUAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 10, PAYSANDU, PAYSANDU, AUTO, 398025, 6424220 
3/4/2014, 63, CONDUCTOR , CHARRUAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 10, PAYSANDU, PAYSANDU, MOTO, 398025, 6424220 
3/4/2014, 24, CONDUCTOR , SARANDI, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 18, PAYSANDU, PAYSANDU, MOTO, 398615, 6423635 
3/4/2014, 16, CONDUCTOR , DAMASO ANTONIO LARRAÑAGA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, FEMENINO, 18, SALTO, SALTO, MOTO, 407930, 6525350 
3/4/2014, 16, PASAJERO  , DAMASO ANTONIO LARRAÑAGA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, MASCULINO, 18, SALTO, SALTO, MOTO, 407930, 6525350 
27/3/2014, 32, CONDUCTOR, RUTA 5 km. 407, SIN DATOS, FALLECIDO EN CENTRO DE ASISTENCIA, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 6, TACUAREMBO, SIN DATOS, AUTO, 609265, 6502330 
13/3/2014, 37, CONDUCTOR , SARANDI, URBANA    , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 19, PAYSANDU, PAYSANDU, AUTO, 399030, 6423590 
13/3/2014, 33, CONDUCTOR , PIEDRAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, JUEVES, FEMENINO, 18, RIO NEGRO, YOUNG, AUTO, 440585, 6381580 
13/3/2014, 59, PASAJERO  , PIEDRAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, JUEVES, FEMENINO, 18, RIO NEGRO, YOUNG, AUTO, 440585, 6381580 
13/3/2014, 18, CONDUCTOR , AVENIDA MANUEL ORIBE, URBANA    , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 14, SALTO, SALTO, MOTO, 410965, 6527240 
13/3/2014, 47, CONDUCTOR , AVENIDA MANUEL ORIBE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 14, SALTO, SALTO, CAMION, 410965, 6527240 
13/3/2014, 37, CONDUCTOR , CHARRUAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, FEMENINO, 16, PAYSANDU, PAYSANDU, MOTO, 397535, 6424305 
15/5/2014, 17, CONDUCTOR , TREBOL ( RUTA 3), URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 23, ARTIGAS, BELLA UNION, MOTO, 443095, 6652455 
24/4/2014, 23, CONDUCTOR , PABLO G. RIOS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 21, TACUAREMBO, TACUAREMBO, MOTO, 597220, 6489750 
27/3/2014, SIN DATOS, CONDUCTOR , GENERAL MANUEL ORIBE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 13, TACUAREMBO, TACUAREMBO, MOTO, 595215, 6490495 
27/3/2014, 23, CONDUCTOR , GENERAL MANUEL ORIBE, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 13, TACUAREMBO, TACUAREMBO, MOTO, 595215, 6490495 
27/3/2014, 31, CONDUCTOR , GENERAL MANUEL ORIBE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 13, TACUAREMBO, TACUAREMBO, AUTO, 595215, 6490495 
31/7/2014, 31, CONDUCTOR , AVENIDA LIBANO, URBANA    , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, RIVERA, RIVERA, AUTO, 640475, 6580110 
31/7/2014, 57, PEATÓN    , AVENIDA LIBANO, URBANA    , HERIDO GRAVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, RIVERA, RIVERA, SIN DATOS, 640475, 6580110 
20/11/2014, 47, CONDUCTOR , ENRIQUE CHAPLIN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 0, PAYSANDU, CHACRAS DE PAYSANDU, AUTO, 400470, 6424655 
20/11/2014, 19, CONDUCTOR , DIECIOCHO DE JULIO, URBANA    , HERIDO LEVE, ATROPELLO DE ANIMALES, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 21, RIVERA, TRANQUERAS, MOTO, 618760, 6547780 
11/9/2014, 74, CONDUCTOR , DIECIOCHO DE JULIO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 15, RIO NEGRO, FRAY BENTOS, MOTO, 378165, 6334480 
6/11/2014, 77, CONDUCTOR , JAIME ROSS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 16, TACUAREMBO, TACUAREMBO, AUTO, 595870, 6490420 
30/10/2014, 17, CONDUCTOR , NO SE INGRESO, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 13, RIO NEGRO, SIN DATOS, MOTO, 380735, 6331280 
25/12/2014, 17, CONDUCTOR , , URBANA    , HERIDO GRAVE, DESPISTE, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 6, ARTIGAS, ARTIGAS, MOTO, 551400, 6635460 
20/3/2014, 40, CONDUCTOR , ZELMAR MICHELINI, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 14, PAYSANDU, PAYSANDU, AUTO, 396920, 6424310 
23/10/2014, 36, CONDUCTOR , NO SE INGRESO, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, TACUAREMBO, SIN DATOS, AUTO, 643330, 6473035 
18/12/2014, 35, CONDUCTOR , F. CARAMBULA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 17, RIVERA, RIVERA, AUTO, 639775, 6580550 
6/3/2014, 64, CONDUCTOR , COLON, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 14, PAYSANDU, PAYSANDU, AUTO, 398775, 6423240 
20/11/2014, SIN DATOS, PEATÓN    , RINCON, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 10, RIO NEGRO, FRAY BENTOS, SIN DATOS, 378455, 6334060 
20/11/2014, 41, CONDUCTOR , AVENIDA WILSON FERREIRA ALDUNATE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 12, SALTO, SALTO, AUTO, 410055, 6524585 
20/11/2014, 66, PASAJERO  , AVENIDA WILSON FERREIRA ALDUNATE, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 12, SALTO, SALTO, AUTO, 410055, 6524585 
20/11/2014, 68, CONDUCTOR , AVENIDA WILSON FERREIRA ALDUNATE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 12, SALTO, SALTO, AUTO, 410055, 6524585 
20/11/2014, 42, CONDUCTOR , APARICIO SARAVIA, URBANA    , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 11, ARTIGAS, ARTIGAS, MOTO, 551465, 6636510 
20/11/2014, 45, CONDUCTOR , DOCTOR ALBERTO D. ROLDAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 13, PAYSANDU, PAYSANDU, AUTO, 398280, 6425595 
20/11/2014, SIN DATOS, CONDUCTOR , DOCTOR ALBERTO D. ROLDAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 13, PAYSANDU, PAYSANDU, AUTO, 398280, 6425595 
20/11/2014, 29, CONDUCTOR , GENERAL EUGENIO GARZON, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 13, ARTIGAS, ARTIGAS, MOTO, 549605, 6635060 
20/11/2014, 42, CONDUCTOR , GENERAL EUGENIO GARZON, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 13, ARTIGAS, ARTIGAS, AUTO, 549605, 6635060 
20/11/2014, 15, CONDUCTOR , VIZCONDE DE MAUA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 19, PAYSANDU, PAYSANDU, MOTO, 398685, 6425730 
20/11/2014, 16, CONDUCTOR , AVENIDA CORONEL CARLOS LECUEDER, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 20, ARTIGAS, ARTIGAS, MOTO, 550825, 6636125 
20/11/2014, 58, CONDUCTOR , AVENIDA CORONEL CARLOS LECUEDER, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 20, ARTIGAS, ARTIGAS, AUTO, 550825, 6636125 
20/11/2014, 30, CONDUCTOR , DIECIOCHO DE JULIO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 16, ARTIGAS, ARTIGAS, MOTO, 551960, 6637045 
20/11/2014, 48, CONDUCTOR , DIECIOCHO DE JULIO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 16, ARTIGAS, ARTIGAS, MOTO, 551960, 6637045 
31/7/2014, 32, CONDUCTOR , VEINTICINCO DE MAYO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 18, TACUAREMBO, TACUAREMBO, AUTO, 596015, 6490425 
31/7/2014, 58, CONDUCTOR , VEINTICINCO DE MAYO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, TACUAREMBO, TACUAREMBO, AUTO, 596015, 6490425 
31/7/2014, 62, CONDUCTOR , VEINTICINCO DE MAYO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 18, TACUAREMBO, TACUAREMBO, AUTO, 596015, 6490425 
31/7/2014, 25, CONDUCTOR , AVENIDA ESPAÑA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 17, PAYSANDU, PAYSANDU, MOTO, 398950, 6423785 
31/7/2014, 44, CONDUCTOR , AVENIDA ESPAÑA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, MASCULINO, 17, PAYSANDU, PAYSANDU, BICICLETA, 398950, 6423785 
31/7/2014, 29, CONDUCTOR , DOCTOR ALBERTO D. ROLDAN, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 19, PAYSANDU, PAYSANDU, MOTO, 398205, 6425170 
31/7/2014, 31, PASAJERO  , DOCTOR ALBERTO D. ROLDAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, JUEVES, MASCULINO, 19, PAYSANDU, PAYSANDU, AUTO, 398205, 6425170 
24/7/2014, 56, CONDUCTOR , NO SE INGRESO, RURAL     , ILESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 11, PAYSANDU, SIN DATOS, AUTO, 406340, 6410530 
13/3/2014, 19, PASAJERO  , PRESIDENTE VIERA, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 18, RIVERA, RIVERA, MOTO, 638105, 6580405 
23/10/2014, 24, PASAJERO  , DOCTOR E. SOCA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 11, SALTO, SALTO, MOTO, 408520, 6528205 
23/10/2014, 20, CONDUCTOR , DOCTOR E. SOCA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 11, SALTO, SALTO, MOTO, 408520, 6528205 
